x,Poker Face, Lady Gaga
x,Llama In My Living Room, AronChupa
x,Rave in the Grave, AronChupa
x, DNA., Kendrick Lamar
x,Rude Boy, Rihanna
x,Silvera,Gojira
x,x,oxicity,a
x,Faded, ZHU
x,Hold Me, Delta Heavy
The Paradox,Excision
Guitarmass, Infected Mushroom
In the Morning, ZHU
Good Life, ZHU
Crazy, Gnarls Barkley
Never Gonna Give You Up, Rick Astley
Planet Purge Pt. 2, Midnight Tyrannosaurus
Up & Down, Marnik
Stronger, YULTRON
White Flag, Delta Heavy
We Are Your Friends - Radio Edit, Justice
The Island - Pt. I (Dawn), Pendulum
We Are Legion - Matt Green Remix, Ambassador21
x,Narkotik Kal, Hard Bass School
Trip to Ireland, Dr. Peacock
x,Trip to Hell, Dr. Peacock
x,Hurricane, Ran-D
Dragonborn - Original Mix, Headhunterz
Nobody Speak, Run The Jewels
Robo Kitty, Excision
x,Shooting Stars, Bag Raiders
Free Tibet - Vini Vici Remix, Hilight Tribe
The Avengers, Alan Silversti
x,Porcelain - AWAY Remix, Skott
Heads Will Roll - A-Trak Remix, Yeah Yeah Yeahs
Greyhound, Swedish House Mafia
x One (Your Name) - Radio Edit, Swedish House Mafia
x,Ikuinen vappu,JVG
I Fink U Freeky,Die Antwoord
Virus (How About Now) - Radio Edit, Martin Garrix
Hoohah - Radio Edit, Fox Stevenson
4U,Aero Chord
x,The Munsta - AlphavibeZ, SCNDL
Bumbum granada, Jerry Smith
Mixed Signals, Rezz
x,D.A.N.C.E, Justice
x,We Are Mirage, Empire of the Sun
Animals, Martin Garrix
x,The Chain, Fleetwood Mac
x,Mr. Blue Sky, Electric Light Orchestra
x,Bongo Bong, Manu Chao
x,La Vie A 2, Manu Chao
x,Frgt/10 (feat. Chali 2NA), Linkin Park
